topic,category,question,option,is_correct,explanation
Foundations,Financial Accounting,What is the fundamental purpose of financial accounting?,Help managers make internal operating decisions,false,Financial accounting is designed for EXTERNAL users — investors creditors regulators. The key distinction from managerial accounting is the external audience.
Foundations,Financial Accounting,What is the fundamental purpose of financial accounting?,Provide meaningful quantitative financial information to external decision makers,true,Financial accounting is designed for EXTERNAL users — investors creditors regulators. The key distinction from managerial accounting is the external audience.
Foundations,Financial Accounting,What is the fundamental purpose of financial accounting?,Minimize taxes owed by the business,false,Financial accounting is designed for EXTERNAL users — investors creditors regulators. The key distinction from managerial accounting is the external audience.
Foundations,Financial Accounting,What is the fundamental purpose of financial accounting?,Track employee productivity,false,Financial accounting is designed for EXTERNAL users — investors creditors regulators. The key distinction from managerial accounting is the external audience.
Foundations,Financial Accounting,Which quality ensures information accurately depicts economic reality?,Relevance,false,Faithful representation means complete neutral and free from error — it matches economic reality. Relevance asks whether it helps decisions. Both matter but trade off against each other.
Foundations,Financial Accounting,Which quality ensures information accurately depicts economic reality?,Timeliness,false,Faithful representation means complete neutral and free from error — it matches economic reality. Relevance asks whether it helps decisions. Both matter but trade off against each other.
Foundations,Financial Accounting,Which quality ensures information accurately depicts economic reality?,Faithful Representation,true,Faithful representation means complete neutral and free from error — it matches economic reality. Relevance asks whether it helps decisions. Both matter but trade off against each other.
Foundations,Financial Accounting,Which quality ensures information accurately depicts economic reality?,Comparability,false,Faithful representation means complete neutral and free from error — it matches economic reality. Relevance asks whether it helps decisions. Both matter but trade off against each other.
Foundations,Financial Accounting,Assets are reported at historical cost rather than market value. Which quality does this prioritize?,Relevance — market value helps decisions,false,Historical cost is objectively verifiable — faithful representation. Market value is more relevant for decisions but harder to verify. This is the core tradeoff in accounting.
Foundations,Financial Accounting,Assets are reported at historical cost rather than market value. Which quality does this prioritize?,Faithful representation — historical cost is objectively verifiable,true,Historical cost is objectively verifiable — faithful representation. Market value is more relevant for decisions but harder to verify. This is the core tradeoff in accounting.
Foundations,Financial Accounting,Assets are reported at historical cost rather than market value. Which quality does this prioritize?,Comparability — everyone uses market value,false,Historical cost is objectively verifiable — faithful representation. Market value is more relevant for decisions but harder to verify. This is the core tradeoff in accounting.
Foundations,Financial Accounting,Assets are reported at historical cost rather than market value. Which quality does this prioritize?,Timeliness — historical cost is faster,false,Historical cost is objectively verifiable — faithful representation. Market value is more relevant for decisions but harder to verify. This is the core tradeoff in accounting.
Foundations,Financial Accounting,GAAP requires all companies to use the same depreciation rules. Which quality does this serve?,Timeliness,false,Comparability allows investors to consistently compare information across companies and time periods. Without consistent rules comparing two firms would be meaningless.
Foundations,Financial Accounting,GAAP requires all companies to use the same depreciation rules. Which quality does this serve?,Faithful Representation,false,Comparability allows investors to consistently compare information across companies and time periods. Without consistent rules comparing two firms would be meaningless.
Foundations,Financial Accounting,GAAP requires all companies to use the same depreciation rules. Which quality does this serve?,Relevance,false,Comparability allows investors to consistently compare information across companies and time periods. Without consistent rules comparing two firms would be meaningless.
